Filename,Instance_Number,Objective_Index,Additional infos_gap,Additional infos_computation_time,Additional infos_obj,Additional infos_solved,Metrics_Envy Freeness,Metrics_Relative Mean Deviation,Metrics_Gini Coefficient,Metrics_Jain's Fairness Index,Metrics_Energy Shortfall,Metrics_Relative Range,Metrics_Coefficient of Variation,Metrics_Hoover Index,Metrics_Utility
solution_56_obj=4_h.log,56,4,-1.0,0.025129,0.87269,0,0.15749657083912766,0.7592006472800744,0.4804878020848436,0.5825078806280777,6117.731780999998,2.6665390873182693,0.8465902031269572,0.37960032364003715,0.3269652813877018
solution_52_obj=6_h.log,52,6,-1.0,0.009997,0.409811,0,0.1576020674427905,0.8259867657993379,0.5134309619870119,0.5446468960229812,5383.249144000003,2.943606078768976,0.9143587688943987,0.41299338289966897,0.30619123877099175
solution_2_obj=2_h.log,2,2,-1.0,0.000885,-216.192467,0,0.15784340724290546,0.7348404299121846,0.4682809592717057,0.5944535148457338,1607.3279459999994,2.6849085118635934,0.8259644800722502,0.36742021495609234,0.3336991822462892
solution_54_obj=8_h.log,54,8,-1.0,0.011946,0.2358,0,0.15589774691498237,0.7771622264879339,0.4925784643522625,0.5686709512743374,5626.097609999996,2.8150107110515914,0.8709111117413496,0.3885811132439669,0.31570199227487505
solution_11_obj=6_h.log,11,6,-1.0,0.001888,0.401076,0,0.15315979267482976,0.7945396320330501,0.49309898524775303,0.5669688130832068,2793.6225589999985,2.754883887413206,0.8739367502268384,0.39726981601652506,0.3090535536893992
solution_48_obj=7_h.log,48,7,-1.0,0.004525,0.378343,0,0.15798275613887838,0.8099634453849024,0.5032271160829742,0.555683419741268,2988.862064999997,2.7256388356277483,0.8941956247741192,0.40498172269245114,0.3123695789323563
solution_51_obj=5_h.log,51,5,-1.0,0.012275,0.541235,0,0.15793042139733698,0.7519136526940455,0.47657712310148054,0.5870668498164632,5955.145623000002,2.6714808101278433,0.8386796318697063,0.37595682634702277,0.33055635217786716
solution_26_obj=5_h.log,26,5,-1.0,0.014145,0.547445,0,0.16137980130518217,0.7537045553590223,0.471813760443637,0.5908869976483153,6192.474903999992,2.5640045271599834,0.8320883172360145,0.3768522776795111,0.3411862164650602
solution_2_obj=8_h.log,2,8,-1.0,0.000919,0.245771,0,0.15784340724290546,0.7348404299121846,0.4682809592717057,0.5944535148457338,1607.3279459999994,2.6849085118635934,0.8259644800722502,0.36742021495609234,0.3336991822462892
solution_37_obj=9_h.log,37,9,-1.0,0.000667,301.860138,0,0.13502345720736864,1.0464571324508058,0.6166370535020569,0.4248587799661325,999.5821569999994,3.586473601194149,1.1634961441134772,0.5232285662254028,0.21677779801931713
solution_26_obj=8_h.log,26,8,-1.0,0.014301,0.251283,0,0.16137980130518217,0.7537045553590223,0.471813760443637,0.5908869976483153,6192.474903999992,2.5640045271599834,0.8320883172360145,0.3768522776795111,0.3411862164650602
solution_46_obj=4_h.log,46,4,-1.0,0.001682,0.831588,0,0.1552759532137008,0.8501119284962395,0.5164368624635506,0.5394110675830063,2705.213468999997,2.7769471838626267,0.9240528747979035,0.42505596424811976,0.29916449556026165
solution_6_obj=8_h.log,6,8,-1.0,0.000556,0.175164,0,0.13117089680813138,0.9704017068063271,0.5925395816532676,0.44998718005954746,1020.937329999999,3.768082069464041,1.1055702295077243,0.48520085340316355,0.21915698437853678
solution_55_obj=9_h.log,55,9,-1.0,0.008539,795.379613,0,0.1513445069257601,0.7105605692291118,0.45215234990666237,0.6140196351020992,5948.726594999995,2.55492249206116,0.7928508142948306,0.3552802846145559,0.33388335964549304
solution_27_obj=4_h.log,27,4,-1.0,0.02001,0.87363,0,0.161703248875816,0.725642250070638,0.46026743748274535,0.6047035164254904,6588.8275250000015,2.4905552569168794,0.808518996814693,0.362821125035319,0.35044623542301195
solution_33_obj=9_h.log,33,9,-1.0,0.000678,269.635056,0,0.10862722650549257,0.8930517823761797,0.5523097430256867,0.49816966070135593,887.393345999999,3.287592806734178,1.0036674034763582,0.44652589118808983,0.19471131117713297
solution_11_obj=2_h.log,11,2,-1.0,0.001791,-429.135426,0,0.15315979267482976,0.7945396320330501,0.49309898524775303,0.5669688130832068,2793.6225589999985,2.754883887413206,0.8739367502268384,0.39726981601652506,0.3090535536893992
