Filename,Instance_Number,Objective_Index,Additional infos_gap,Additional infos_computation_time,Additional infos_obj,Additional infos_solved,Metrics_Envy Freeness,Metrics_Relative Mean Deviation,Metrics_Gini Coefficient,Metrics_Jain's Fairness Index,Metrics_Energy Shortfall,Metrics_Relative Range,Metrics_Coefficient of Variation,Metrics_Hoover Index,Metrics_Utility
solution_58_obj=3_h_lns.log,58,3,-1.0,601.840354,-94118.431306,0,0.22016733531784605,1.0266627287875845,0.5736468176043582,0.4634152624119862,6154.87915,2.5697689776233426,1.076053814323899,0.5133313643937921,0.38284343299716767
solution_56_obj=8_h_lns.log,56,8,-1.0,600.246654,0.228408,0,0.15531450557308982,0.7863017707127055,0.5138504579094979,0.5390256050392218,6077.211301,3.258792604364458,0.9247699383414879,0.39315088535635273,0.30150059598943224
solution_13_obj=5_h_lns.log,13,5,-1.0,600.119016,0.359865,0,0.09561972519549092,0.32734361681657825,0.24246941030112878,0.8305141946808716,2848.7178159999958,2.4675080563661855,0.45174477266547475,0.16367180840828915,0.39238610120489975
solution_13_obj=1_h_lns.log,13,1,-1.0,600.141889,19.999411,0,0.11653617607953348,0.7287684596786412,0.4894260833158786,0.561314429260609,2092.2238959999995,3.6997076294442857,0.8840433704974417,0.3643842298393206,0.23691727750500288
solution_46_obj=6_h_lns.log,46,6,-1.0,600.009051,0.308016,0,0.09028101811208859,0.32762742737526623,0.2369944085626493,0.8416537043286791,2825.7702689999965,1.8452089705817902,0.4337477494354904,0.16381371368763314,0.37903684549494715
solution_25_obj=1_h_lns.log,25,1,-1.0,602.136758,72.528074,0,0.1416878864748432,0.6021500757990189,0.4072700764147298,0.6641712850282533,6231.2852209999955,2.788493066676075,0.7110806589502363,0.30107503789950946,0.34702688693172784
solution_53_obj=6_h_lns.log,53,6,-1.0,600.526067,0.311308,0,0.08952315394129022,0.30864230450159585,0.22405488760918513,0.8514105353887783,5967.711196999998,2.3400178533056497,0.41775773421898466,0.15432115225079793,0.39856013412305047
solution_30_obj=8_h_lns.log,30,8,-1.0,601.035211,0.234341,0,0.17823482713490985,1.0172136323941814,0.6121220250484047,0.4301123122985491,5994.392761000004,3.388301910350221,1.1510752069777916,0.5086068161970907,0.29044738269793685
solution_24_obj=7_h_lns.log,24,7,-1.0,601.051542,0.296093,0,0.10239745914063823,0.3262954523482268,0.23037934280760036,0.851176034952446,6716.076618999996,1.9109715670235257,0.4181448399358973,0.1631477261741134,0.44336208380495207
solution_50_obj=2_h_lns.log,50,2,-1.0,600.042626,-705.586814,0,0.1913607809470848,1.3073239489773132,0.6937614797048673,0.32436128946433557,2607.5038079999986,3.5754922560408766,1.443253944339084,0.6536619744886566,0.2744516416843316
